 時間帯,リンクID,種別,最大セクション,自由速度,平均速度,率
  600, 410070251,    1,   30,   15,    15.0,   1.000
  600, 310020051,    1,   41,   12,    12.0,   0.997
  600, 910380011,    1,   24,    9,     8.8,   0.977
  600, 910260051,    1,   46,   12,    11.4,   0.947
  600, 610010031,    1,   27,   12,    11.3,   0.939
  600, 310020151,    1,   80,   12,    12.0,   1.000
  600, 910470071,    1,    9,    9,     8.8,   0.975
  600, 410080081,    1,   29,   12,    11.2,   0.931
  600, 610080091,    1,   19,   12,    11.9,   0.994
  600, 920130011,    1,  207,   12,    12.0,   1.000
  600, 911670041,    1,   41,    9,     9.0,   1.000
  600, 610080031,    1,    7,    9,     8.7,   0.965
  600, 911520011,    1,    7,    7,     6.9,   0.987
  600, 911180111,    1,    8,    9,     9.0,   1.000
  600, 911180071,    1,   19,    9,     9.0,   0.999
  600, 911510071,    1,   19,    7,     7.0,   0.999
  600, 911830051,    1,   11,    7,     7.0,   1.000
  600, 911420171,    1,   10,    7,     7.0,   1.000
  600, 911180051,    1,    2,    9,     9.0,   0.999
  600, 911860011,    1,    7,    7,     6.7,   0.963
  600, 910470051,    1,    7,    9,     8.7,   0.965
  600, 911830031,    1,    7,    7,     7.0,   1.000
  600, 911420151,    1,    7,    7,     7.0,   1.000
  600, 910470031,    1,   13,    9,     8.4,   0.933
  600, 920400011,    1,    7,    7,     7.0,   1.000
  600, 911770031,    1,    7,    7,     7.0,   1.000
  600, 911830011,    1,   15,    7,     7.0,   1.000
  600, 910260031,    1,   46,   12,    11.1,   0.927
  600, 921720011,    1,    7,    7,     7.0,   1.000
  600, 911420131,    1,    2,    7,     7.0,   1.000
  600, 921720031,    1,    7,    7,     7.0,   1.000
  600, 911420091,    1,    3,    7,     7.0,   1.000
  600, 921020111,    1,   77,    9,     9.0,   1.000
  600, 911420071,    1,   12,    7,     7.0,   1.000
  600, 921500011,    1,  103,    7,     7.0,   1.000
  600, 920900011,    1,   31,    7,     7.0,   0.998
  600, 921720051,    1,    7,    7,     7.0,   1.000
  600, 910390011,    1,   27,    7,     7.0,   1.000
  600, 920900031,    1,   23,    7,     7.0,   1.000
  600, 910210031,    1,   14,    9,     6.5,   0.720
  600, 911020171,    1,   10,    9,     9.0,   1.000
  600, 911020151,    1,   18,    9,     9.0,   1.000
  600, 911020131,    1,   55,    9,     9.0,   0.997
  600, 911420011,    1,    4,    7,     6.9,   0.980
  600, 910470111,    1,   48,    9,     9.0,   1.000
  600, 410070071,    1,   34,   15,    14.9,   0.991
  600, 610020051,    1,   77,   15,    15.0,   1.000
  600, 410050101,    1,   51,   18,    15.8,   0.879
  600, 610110031,    1,  127,   12,    12.0,   0.999
  600, 911570031,    1,   61,    7,     7.0,   0.999
  600, 710010051,    1,   66,   15,    15.0,   1.000
  600, 911050051,    1,    9,   12,    11.8,   0.986
  600, 910210191,    1,   23,   12,    12.0,   1.000
  600, 911460011,    1,  126,    7,     7.0,   0.998
  600, 911020271,    1,   40,    7,     6.9,   0.989
  600, 911080031,    1,   86,   12,    11.6,   0.967
  600, 911670011,    1,  145,    9,     9.0,   1.000
  600, 410050181,    1,   38,   18,    17.8,   0.988
  600, 310020231,    1,   23,   12,    11.9,   0.988
  600, 910850051,    1,   15,    9,     9.0,   1.000
